[     733ms] [INFO] [SAFA API] -> GET /auth/session {method: GET, path: /auth/session, url: /api/auth/session, body: undefined, requestedAt: 2026-06-23T09:20:22.802Z} @ https://safa-redesign.web.app/_next/static/chunks/0gvqwh8lbqr0k.js:0
[     734ms] [INFO] [SAFA API] -> GET /orders {method: GET, path: /orders, url: /api/orders, body: undefined, requestedAt: 2026-06-23T09:20:22.802Z} @ https://safa-redesign.web.app/_next/static/chunks/0gvqwh8lbqr0k.js:0
[     735ms] [INFO] [SAFA API] -> GET /products {method: GET, path: /products, url: /api/products, body: undefined, requestedAt: 2026-06-23T09:20:22.803Z} @ https://safa-redesign.web.app/_next/static/chunks/0gvqwh8lbqr0k.js:0
[     735ms] [INFO] [SAFA API] -> GET /integrations/hepsiburada/order-lines {method: GET, path: /integrations/hepsiburada/order-lines, url: /api/integrations/hepsiburada/order-lines, body: undefined, requestedAt: 2026-06-23T09:20:22.803Z} @ https://safa-redesign.web.app/_next/static/chunks/0gvqwh8lbqr0k.js:0
[     736ms] [INFO] [SAFA API] -> GET /invoice-drafts {method: GET, path: /invoice-drafts, url: /api/invoice-drafts, body: undefined, requestedAt: 2026-06-23T09:20:22.804Z} @ https://safa-redesign.web.app/_next/static/chunks/0gvqwh8lbqr0k.js:0
[     736ms] [INFO] [SAFA API] -> GET /invoices {method: GET, path: /invoices, url: /api/invoices, body: undefined, requestedAt: 2026-06-23T09:20:22.804Z} @ https://safa-redesign.web.app/_next/static/chunks/0gvqwh8lbqr0k.js:0
[     736ms] [INFO] [SAFA API] -> GET /external-invoices {method: GET, path: /external-invoices, url: /api/external-invoices, body: undefined, requestedAt: 2026-06-23T09:20:22.805Z} @ https://safa-redesign.web.app/_next/static/chunks/0gvqwh8lbqr0k.js:0
[     736ms] [INFO] [SAFA API] -> GET /jobs {method: GET, path: /jobs, url: /api/jobs, body: undefined, requestedAt: 2026-06-23T09:20:22.805Z} @ https://safa-redesign.web.app/_next/static/chunks/0gvqwh8lbqr0k.js:0
[     737ms] [INFO] [SAFA API] -> GET /settings {method: GET, path: /settings, url: /api/settings, body: undefined, requestedAt: 2026-06-23T09:20:22.805Z} @ https://safa-redesign.web.app/_next/static/chunks/0gvqwh8lbqr0k.js:0
[     737ms] [INFO] [SAFA API] -> GET /settings/connections {method: GET, path: /settings/connections, url: /api/settings/connections, body: undefined, requestedAt: 2026-06-23T09:20:22.805Z} @ https://safa-redesign.web.app/_next/static/chunks/0gvqwh8lbqr0k.js:0
[     737ms] [INFO] [SAFA API] -> GET /automation/status {method: GET, path: /automation/status, url: /api/automation/status, body: undefined, requestedAt: 2026-06-23T09:20:22.806Z} @ https://safa-redesign.web.app/_next/static/chunks/0gvqwh8lbqr0k.js:0
[     738ms] [INFO] [SAFA ROUTE] navigation {from: null, to: /, pathname: /, search: null, navigatedAt: 2026-06-23T09:20:22.807Z} @ https://safa-redesign.web.app/_next/static/chunks/0u_z2k12x9vs1.js:0
[    2163ms] [INFO] [SAFA API] <- 200 GET /integrations/hepsiburada/order-lines (1428ms) {method: GET, path: /integrations/hepsiburada/order-lines, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/0gvqwh8lbqr0k.js:0
[   11659ms] [INFO] [SAFA API] <- 200 GET /orders (10920ms) {method: GET, path: /orders, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/0gvqwh8lbqr0k.js:0
[   13248ms] [INFO] [SAFA API] <- 200 GET /automation/status (12511ms) {method: GET, path: /automation/status, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/0gvqwh8lbqr0k.js:0
[   18896ms] [INFO] [SAFA API] <- 200 GET /invoice-drafts (18156ms) {method: GET, path: /invoice-drafts, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/0gvqwh8lbqr0k.js:0
[   19042ms] [INFO] [SAFA API] <- 200 GET /auth/session (18309ms) {method: GET, path: /auth/session, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/0gvqwh8lbqr0k.js:0
[   19049ms] [INFO] [SAFA API] <- 200 GET /settings (18313ms) {method: GET, path: /settings, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/0gvqwh8lbqr0k.js:0
[   21026ms] [INFO] [SAFA API] <- 200 GET /invoices (20290ms) {method: GET, path: /invoices, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/0gvqwh8lbqr0k.js:0
[   24542ms] [INFO] [SAFA API] <- 200 GET /settings/connections (23804ms) {method: GET, path: /settings/connections, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/0gvqwh8lbqr0k.js:0
[   24559ms] [INFO] [SAFA API] <- 200 GET /products (23825ms) {method: GET, path: /products, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/0gvqwh8lbqr0k.js:0
[   25060ms] [INFO] [SAFA API] <- 200 GET /jobs (24259ms) {method: GET, path: /jobs, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/0gvqwh8lbqr0k.js:0
[   33080ms] [INFO] [SAFA API] <- 200 GET /external-invoices (32338ms) {method: GET, path: /external-invoices, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/0gvqwh8lbqr0k.js:0
