[    1082ms] [INFO] [SAFA API] -> GET /auth/session {method: GET, path: /auth/session, url: /api/auth/session, body: undefined, requestedAt: 2026-06-23T09:24:12.872Z} @ https://safa-redesign.web.app/_next/static/chunks/15wp0j.m1o-ft.js:0
[    1083ms] [INFO] [SAFA API] -> GET /orders {method: GET, path: /orders, url: /api/orders, body: undefined, requestedAt: 2026-06-23T09:24:12.873Z} @ https://safa-redesign.web.app/_next/static/chunks/15wp0j.m1o-ft.js:0
[    1083ms] [INFO] [SAFA API] -> GET /products {method: GET, path: /products, url: /api/products, body: undefined, requestedAt: 2026-06-23T09:24:12.873Z} @ https://safa-redesign.web.app/_next/static/chunks/15wp0j.m1o-ft.js:0
[    1083ms] [INFO] [SAFA API] -> GET /integrations/hepsiburada/order-lines {method: GET, path: /integrations/hepsiburada/order-lines, url: /api/integrations/hepsiburada/order-lines, body: undefined, requestedAt: 2026-06-23T09:24:12.873Z} @ https://safa-redesign.web.app/_next/static/chunks/15wp0j.m1o-ft.js:0
[    1083ms] [INFO] [SAFA API] -> GET /invoice-drafts {method: GET, path: /invoice-drafts, url: /api/invoice-drafts, body: undefined, requestedAt: 2026-06-23T09:24:12.874Z} @ https://safa-redesign.web.app/_next/static/chunks/15wp0j.m1o-ft.js:0
[    1083ms] [INFO] [SAFA API] -> GET /invoices {method: GET, path: /invoices, url: /api/invoices, body: undefined, requestedAt: 2026-06-23T09:24:12.874Z} @ https://safa-redesign.web.app/_next/static/chunks/15wp0j.m1o-ft.js:0
[    1084ms] [INFO] [SAFA API] -> GET /external-invoices {method: GET, path: /external-invoices, url: /api/external-invoices, body: undefined, requestedAt: 2026-06-23T09:24:12.874Z} @ https://safa-redesign.web.app/_next/static/chunks/15wp0j.m1o-ft.js:0
[    1084ms] [INFO] [SAFA API] -> GET /jobs {method: GET, path: /jobs, url: /api/jobs, body: undefined, requestedAt: 2026-06-23T09:24:12.874Z} @ https://safa-redesign.web.app/_next/static/chunks/15wp0j.m1o-ft.js:0
[    1084ms] [INFO] [SAFA API] -> GET /settings {method: GET, path: /settings, url: /api/settings, body: undefined, requestedAt: 2026-06-23T09:24:12.875Z} @ https://safa-redesign.web.app/_next/static/chunks/15wp0j.m1o-ft.js:0
[    1084ms] [INFO] [SAFA API] -> GET /settings/connections {method: GET, path: /settings/connections, url: /api/settings/connections, body: undefined, requestedAt: 2026-06-23T09:24:12.875Z} @ https://safa-redesign.web.app/_next/static/chunks/15wp0j.m1o-ft.js:0
[    1085ms] [INFO] [SAFA API] -> GET /automation/status {method: GET, path: /automation/status, url: /api/automation/status, body: undefined, requestedAt: 2026-06-23T09:24:12.875Z} @ https://safa-redesign.web.app/_next/static/chunks/15wp0j.m1o-ft.js:0
[    1086ms] [INFO] [SAFA ROUTE] navigation {from: null, to: /, pathname: /, search: null, navigatedAt: 2026-06-23T09:24:12.876Z} @ https://safa-redesign.web.app/_next/static/chunks/0u_z2k12x9vs1.js:0
[    1325ms] [INFO] [SAFA API] <- 200 GET /settings/connections (241ms) {method: GET, path: /settings/connections, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/15wp0j.m1o-ft.js:0
[    1328ms] [INFO] [SAFA API] <- 200 GET /auth/session (246ms) {method: GET, path: /auth/session, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/15wp0j.m1o-ft.js:0
[    5392ms] [INFO] [SAFA API] <- 200 GET /automation/status (4307ms) {method: GET, path: /automation/status, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/15wp0j.m1o-ft.js:0
[    6579ms] [INFO] [SAFA API] <- 200 GET /settings (5495ms) {method: GET, path: /settings, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/15wp0j.m1o-ft.js:0
[    7092ms] [INFO] [SAFA API] <- 200 GET /jobs (5950ms) {method: GET, path: /jobs, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/15wp0j.m1o-ft.js:0
[   13805ms] [INFO] [SAFA API] <- 200 GET /external-invoices (12714ms) {method: GET, path: /external-invoices, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/15wp0j.m1o-ft.js:0
[   15794ms] [INFO] [SAFA API] <- 200 GET /invoices (14711ms) {method: GET, path: /invoices, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/15wp0j.m1o-ft.js:0
[   23100ms] [INFO] [SAFA API] <- 200 GET /invoice-drafts (22013ms) {method: GET, path: /invoice-drafts, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/15wp0j.m1o-ft.js:0
[   26218ms] [INFO] [SAFA API] <- 200 GET /orders (25133ms) {method: GET, path: /orders, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/15wp0j.m1o-ft.js:0
[   26223ms] [INFO] [SAFA API] <- 200 GET /products (25140ms) {method: GET, path: /products, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/15wp0j.m1o-ft.js:0
[   26258ms] [INFO] [SAFA API] <- 200 GET /integrations/hepsiburada/order-lines (25175ms) {method: GET, path: /integrations/hepsiburada/order-lines, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/15wp0j.m1o-ft.js:0
