[     560ms] [INFO] [SAFA API] -> GET /auth/session {method: GET, path: /auth/session, url: /api/auth/session, body: undefined, requestedAt: 2026-06-23T09:25:44.771Z} @ https://safa-redesign.web.app/_next/static/chunks/15wp0j.m1o-ft.js:0
[     561ms] [INFO] [SAFA API] -> GET /orders {method: GET, path: /orders, url: /api/orders, body: undefined, requestedAt: 2026-06-23T09:25:44.771Z} @ https://safa-redesign.web.app/_next/static/chunks/15wp0j.m1o-ft.js:0
[     561ms] [INFO] [SAFA API] -> GET /products {method: GET, path: /products, url: /api/products, body: undefined, requestedAt: 2026-06-23T09:25:44.772Z} @ https://safa-redesign.web.app/_next/static/chunks/15wp0j.m1o-ft.js:0
[     562ms] [INFO] [SAFA API] -> GET /integrations/hepsiburada/order-lines {method: GET, path: /integrations/hepsiburada/order-lines, url: /api/integrations/hepsiburada/order-lines, body: undefined, requestedAt: 2026-06-23T09:25:44.772Z} @ https://safa-redesign.web.app/_next/static/chunks/15wp0j.m1o-ft.js:0
[     562ms] [INFO] [SAFA API] -> GET /invoice-drafts {method: GET, path: /invoice-drafts, url: /api/invoice-drafts, body: undefined, requestedAt: 2026-06-23T09:25:44.773Z} @ https://safa-redesign.web.app/_next/static/chunks/15wp0j.m1o-ft.js:0
[     563ms] [INFO] [SAFA API] -> GET /invoices {method: GET, path: /invoices, url: /api/invoices, body: undefined, requestedAt: 2026-06-23T09:25:44.773Z} @ https://safa-redesign.web.app/_next/static/chunks/15wp0j.m1o-ft.js:0
[     563ms] [INFO] [SAFA API] -> GET /external-invoices {method: GET, path: /external-invoices, url: /api/external-invoices, body: undefined, requestedAt: 2026-06-23T09:25:44.773Z} @ https://safa-redesign.web.app/_next/static/chunks/15wp0j.m1o-ft.js:0
[     563ms] [INFO] [SAFA API] -> GET /jobs {method: GET, path: /jobs, url: /api/jobs, body: undefined, requestedAt: 2026-06-23T09:25:44.774Z} @ https://safa-redesign.web.app/_next/static/chunks/15wp0j.m1o-ft.js:0
[     564ms] [INFO] [SAFA API] -> GET /settings {method: GET, path: /settings, url: /api/settings, body: undefined, requestedAt: 2026-06-23T09:25:44.774Z} @ https://safa-redesign.web.app/_next/static/chunks/15wp0j.m1o-ft.js:0
[     566ms] [INFO] [SAFA API] -> GET /settings/connections {method: GET, path: /settings/connections, url: /api/settings/connections, body: undefined, requestedAt: 2026-06-23T09:25:44.777Z} @ https://safa-redesign.web.app/_next/static/chunks/15wp0j.m1o-ft.js:0
[     567ms] [INFO] [SAFA API] -> GET /automation/status {method: GET, path: /automation/status, url: /api/automation/status, body: undefined, requestedAt: 2026-06-23T09:25:44.777Z} @ https://safa-redesign.web.app/_next/static/chunks/15wp0j.m1o-ft.js:0
[     568ms] [INFO] [SAFA ROUTE] navigation {from: null, to: /invoices, pathname: /invoices, search: null, navigatedAt: 2026-06-23T09:25:44.778Z} @ https://safa-redesign.web.app/_next/static/chunks/0u_z2k12x9vs1.js:0
[     649ms] [INFO] [SAFA API] <- 200 GET /auth/session (89ms) {method: GET, path: /auth/session, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/15wp0j.m1o-ft.js:0
[     710ms] [INFO] [SAFA API] <- 200 GET /integrations/hepsiburada/order-lines (149ms) {method: GET, path: /integrations/hepsiburada/order-lines, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/15wp0j.m1o-ft.js:0
[   10613ms] [INFO] [SAFA API] <- 200 GET /external-invoices (10045ms) {method: GET, path: /external-invoices, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/15wp0j.m1o-ft.js:0
[   11791ms] [INFO] [SAFA API] <- 200 GET /orders (11227ms) {method: GET, path: /orders, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/15wp0j.m1o-ft.js:0
[   19850ms] [INFO] [SAFA API] <- 200 GET /invoice-drafts (19280ms) {method: GET, path: /invoice-drafts, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/15wp0j.m1o-ft.js:0
[   22767ms] [INFO] [SAFA API] <- 200 GET /jobs (22149ms) {method: GET, path: /jobs, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/15wp0j.m1o-ft.js:0
[   24715ms] [INFO] [SAFA API] <- 200 GET /automation/status (24148ms) {method: GET, path: /automation/status, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/15wp0j.m1o-ft.js:0
[   24766ms] [INFO] [SAFA API] <- 200 GET /settings/connections (24200ms) {method: GET, path: /settings/connections, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/15wp0j.m1o-ft.js:0
[   24788ms] [INFO] [SAFA API] <- 200 GET /products (24226ms) {method: GET, path: /products, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/15wp0j.m1o-ft.js:0
[   26790ms] [INFO] [SAFA API] <- 200 GET /invoices (26227ms) {method: GET, path: /invoices, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/15wp0j.m1o-ft.js:0
[   26931ms] [INFO] [SAFA API] <- 200 GET /settings (26367ms) {method: GET, path: /settings, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/15wp0j.m1o-ft.js:0
