[    2348ms] [INFO] [SAFA API] -> GET /auth/session {method: GET, path: /auth/session, url: /api/auth/session, body: undefined, requestedAt: 2026-06-23T09:28:29.496Z} @ https://safa-redesign.web.app/_next/static/chunks/17050gsy~bzjc.js:0
[    2352ms] [INFO] [SAFA API] -> GET /orders {method: GET, path: /orders, url: /api/orders, body: undefined, requestedAt: 2026-06-23T09:28:29.501Z} @ https://safa-redesign.web.app/_next/static/chunks/17050gsy~bzjc.js:0
[    2352ms] [INFO] [SAFA API] -> GET /products {method: GET, path: /products, url: /api/products, body: undefined, requestedAt: 2026-06-23T09:28:29.502Z} @ https://safa-redesign.web.app/_next/static/chunks/17050gsy~bzjc.js:0
[    2353ms] [INFO] [SAFA API] -> GET /integrations/hepsiburada/order-lines {method: GET, path: /integrations/hepsiburada/order-lines, url: /api/integrations/hepsiburada/order-lines, body: undefined, requestedAt: 2026-06-23T09:28:29.502Z} @ https://safa-redesign.web.app/_next/static/chunks/17050gsy~bzjc.js:0
[    2353ms] [INFO] [SAFA API] -> GET /invoice-drafts {method: GET, path: /invoice-drafts, url: /api/invoice-drafts, body: undefined, requestedAt: 2026-06-23T09:28:29.502Z} @ https://safa-redesign.web.app/_next/static/chunks/17050gsy~bzjc.js:0
[    2353ms] [INFO] [SAFA API] -> GET /invoices {method: GET, path: /invoices, url: /api/invoices, body: undefined, requestedAt: 2026-06-23T09:28:29.503Z} @ https://safa-redesign.web.app/_next/static/chunks/17050gsy~bzjc.js:0
[    2353ms] [INFO] [SAFA API] -> GET /external-invoices {method: GET, path: /external-invoices, url: /api/external-invoices, body: undefined, requestedAt: 2026-06-23T09:28:29.503Z} @ https://safa-redesign.web.app/_next/static/chunks/17050gsy~bzjc.js:0
[    2354ms] [INFO] [SAFA API] -> GET /jobs {method: GET, path: /jobs, url: /api/jobs, body: undefined, requestedAt: 2026-06-23T09:28:29.503Z} @ https://safa-redesign.web.app/_next/static/chunks/17050gsy~bzjc.js:0
[    2354ms] [INFO] [SAFA API] -> GET /settings {method: GET, path: /settings, url: /api/settings, body: undefined, requestedAt: 2026-06-23T09:28:29.503Z} @ https://safa-redesign.web.app/_next/static/chunks/17050gsy~bzjc.js:0
[    2354ms] [INFO] [SAFA API] -> GET /settings/connections {method: GET, path: /settings/connections, url: /api/settings/connections, body: undefined, requestedAt: 2026-06-23T09:28:29.504Z} @ https://safa-redesign.web.app/_next/static/chunks/17050gsy~bzjc.js:0
[    2354ms] [INFO] [SAFA API] -> GET /automation/status {method: GET, path: /automation/status, url: /api/automation/status, body: undefined, requestedAt: 2026-06-23T09:28:29.504Z} @ https://safa-redesign.web.app/_next/static/chunks/17050gsy~bzjc.js:0
[    2356ms] [INFO] [SAFA ROUTE] navigation {from: null, to: /invoices, pathname: /invoices, search: null, navigatedAt: 2026-06-23T09:28:29.506Z} @ https://safa-redesign.web.app/_next/static/chunks/0u_z2k12x9vs1.js:0
[    2456ms] [INFO] [SAFA API] <- 200 GET /auth/session (109ms) {method: GET, path: /auth/session, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/17050gsy~bzjc.js:0
[    2628ms] [INFO] [SAFA API] <- 200 GET /settings/connections (274ms) {method: GET, path: /settings/connections, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/17050gsy~bzjc.js:0
[    2729ms] [INFO] [SAFA API] <- 200 GET /integrations/hepsiburada/order-lines (377ms) {method: GET, path: /integrations/hepsiburada/order-lines, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/17050gsy~bzjc.js:0
[    3632ms] [INFO] [SAFA API] <- 200 GET /products (1280ms) {method: GET, path: /products, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/17050gsy~bzjc.js:0
[   14239ms] [INFO] [SAFA API] <- 200 GET /external-invoices (11880ms) {method: GET, path: /external-invoices, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/17050gsy~bzjc.js:0
[   15864ms] [INFO] [SAFA API] <- 200 GET /orders (13511ms) {method: GET, path: /orders, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/17050gsy~bzjc.js:0
[   16866ms] [INFO] [SAFA API] <- 200 GET /jobs (14428ms) {method: GET, path: /jobs, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/17050gsy~bzjc.js:0
[   18525ms] [INFO] [SAFA API] <- 200 GET /invoices (16172ms) {method: GET, path: /invoices, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/17050gsy~bzjc.js:0
[   21046ms] [INFO] [SAFA API] <- 200 GET /automation/status (18692ms) {method: GET, path: /automation/status, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/17050gsy~bzjc.js:0
[   21156ms] [INFO] [SAFA API] <- 200 GET /settings (18802ms) {method: GET, path: /settings, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/17050gsy~bzjc.js:0
[   28849ms] [INFO] [SAFA API] <- 200 GET /invoice-drafts (26494ms) {method: GET, path: /invoice-drafts, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/17050gsy~bzjc.js:0
