[     565ms] [INFO] [SAFA API] -> GET /auth/session {method: GET, path: /auth/session, url: /api/auth/session, body: undefined, requestedAt: 2026-06-23T13:04:31.722Z} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[     566ms] [INFO] [SAFA API] -> GET /orders {method: GET, path: /orders, url: /api/orders, body: undefined, requestedAt: 2026-06-23T13:04:31.723Z} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[     566ms] [INFO] [SAFA API] -> GET /products {method: GET, path: /products, url: /api/products, body: undefined, requestedAt: 2026-06-23T13:04:31.724Z} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[     567ms] [INFO] [SAFA API] -> GET /integrations/hepsiburada/order-lines {method: GET, path: /integrations/hepsiburada/order-lines, url: /api/integrations/hepsiburada/order-lines, body: undefined, requestedAt: 2026-06-23T13:04:31.724Z} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[     567ms] [INFO] [SAFA API] -> GET /invoice-drafts {method: GET, path: /invoice-drafts, url: /api/invoice-drafts, body: undefined, requestedAt: 2026-06-23T13:04:31.725Z} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[     568ms] [INFO] [SAFA API] -> GET /invoices {method: GET, path: /invoices, url: /api/invoices, body: undefined, requestedAt: 2026-06-23T13:04:31.725Z} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[     568ms] [INFO] [SAFA API] -> GET /external-invoices {method: GET, path: /external-invoices, url: /api/external-invoices, body: undefined, requestedAt: 2026-06-23T13:04:31.725Z} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[     568ms] [INFO] [SAFA API] -> GET /jobs {method: GET, path: /jobs, url: /api/jobs, body: undefined, requestedAt: 2026-06-23T13:04:31.726Z} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[     570ms] [INFO] [SAFA API] -> GET /settings {method: GET, path: /settings, url: /api/settings, body: undefined, requestedAt: 2026-06-23T13:04:31.727Z} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[     570ms] [INFO] [SAFA API] -> GET /settings/connections {method: GET, path: /settings/connections, url: /api/settings/connections, body: undefined, requestedAt: 2026-06-23T13:04:31.728Z} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[     571ms] [INFO] [SAFA API] -> GET /automation/status {method: GET, path: /automation/status, url: /api/automation/status, body: undefined, requestedAt: 2026-06-23T13:04:31.728Z} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[     572ms] [INFO] [SAFA ROUTE] navigation {from: null, to: /saved-information, pathname: /saved-information, search: null, navigatedAt: 2026-06-23T13:04:31.730Z} @ https://safa-redesign.web.app/_next/static/chunks/0u_z2k12x9vs1.js:0
[     719ms] [INFO] [SAFA API] <- 200 GET /products (153ms) {method: GET, path: /products, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[     751ms] [INFO] [SAFA API] <- 200 GET /integrations/hepsiburada/order-lines (184ms) {method: GET, path: /integrations/hepsiburada/order-lines, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[    1889ms] [INFO] [SAFA API] <- 200 GET /settings (1319ms) {method: GET, path: /settings, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[    1895ms] [INFO] [SAFA API] <- 200 GET /auth/session (1331ms) {method: GET, path: /auth/session, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[    7316ms] [INFO] [SAFA API] <- 200 GET /jobs (6672ms) {method: GET, path: /jobs, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[   13406ms] [INFO] [SAFA API] <- 200 GET /invoice-drafts (12833ms) {method: GET, path: /invoice-drafts, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[   15423ms] [INFO] [SAFA API] <- 200 GET /invoices (14855ms) {method: GET, path: /invoices, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[   17823ms] [INFO] [SAFA API] <- 200 GET /automation/status (17252ms) {method: GET, path: /automation/status, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[   21604ms] [INFO] [SAFA API] <- 200 GET /orders (21035ms) {method: GET, path: /orders, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[   21775ms] [INFO] [SAFA API] <- 200 GET /settings/connections (21205ms) {method: GET, path: /settings/connections, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[   29167ms] [INFO] [SAFA API] <- 200 GET /external-invoices (28591ms) {method: GET, path: /external-invoices, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
