[    1029ms] [INFO] [SAFA API] -> GET /auth/session {method: GET, path: /auth/session, url: /api/auth/session, body: undefined, requestedAt: 2026-06-23T13:08:08.873Z} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[    1030ms] [INFO] [SAFA API] -> GET /orders {method: GET, path: /orders, url: /api/orders, body: undefined, requestedAt: 2026-06-23T13:08:08.874Z} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[    1030ms] [INFO] [SAFA API] -> GET /products {method: GET, path: /products, url: /api/products, body: undefined, requestedAt: 2026-06-23T13:08:08.875Z} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[    1031ms] [INFO] [SAFA API] -> GET /integrations/hepsiburada/order-lines {method: GET, path: /integrations/hepsiburada/order-lines, url: /api/integrations/hepsiburada/order-lines, body: undefined, requestedAt: 2026-06-23T13:08:08.875Z} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[    1031ms] [INFO] [SAFA API] -> GET /invoice-drafts {method: GET, path: /invoice-drafts, url: /api/invoice-drafts, body: undefined, requestedAt: 2026-06-23T13:08:08.875Z} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[    1031ms] [INFO] [SAFA API] -> GET /invoices {method: GET, path: /invoices, url: /api/invoices, body: undefined, requestedAt: 2026-06-23T13:08:08.876Z} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[    1032ms] [INFO] [SAFA API] -> GET /external-invoices {method: GET, path: /external-invoices, url: /api/external-invoices, body: undefined, requestedAt: 2026-06-23T13:08:08.876Z} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[    1032ms] [INFO] [SAFA API] -> GET /jobs {method: GET, path: /jobs, url: /api/jobs, body: undefined, requestedAt: 2026-06-23T13:08:08.876Z} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[    1032ms] [INFO] [SAFA API] -> GET /settings {method: GET, path: /settings, url: /api/settings, body: undefined, requestedAt: 2026-06-23T13:08:08.877Z} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[    1033ms] [INFO] [SAFA API] -> GET /settings/connections {method: GET, path: /settings/connections, url: /api/settings/connections, body: undefined, requestedAt: 2026-06-23T13:08:08.877Z} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[    1033ms] [INFO] [SAFA API] -> GET /automation/status {method: GET, path: /automation/status, url: /api/automation/status, body: undefined, requestedAt: 2026-06-23T13:08:08.877Z} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[    1034ms] [INFO] [SAFA ROUTE] navigation {from: null, to: /invoices, pathname: /invoices, search: null, navigatedAt: 2026-06-23T13:08:08.879Z} @ https://safa-redesign.web.app/_next/static/chunks/0u_z2k12x9vs1.js:0
[    2187ms] [INFO] [SAFA API] <- 200 GET /products (1157ms) {method: GET, path: /products, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[    6055ms] [INFO] [SAFA API] <- 200 GET /invoices (5023ms) {method: GET, path: /invoices, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[   12759ms] [INFO] [SAFA API] <- 200 GET /auth/session (11729ms) {method: GET, path: /auth/session, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[   12782ms] [INFO] [SAFA API] <- 200 GET /integrations/hepsiburada/order-lines (11751ms) {method: GET, path: /integrations/hepsiburada/order-lines, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[   12895ms] [INFO] [SAFA API] <- 200 GET /external-invoices (11838ms) {method: GET, path: /external-invoices, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[   16496ms] [INFO] [SAFA API] <- 200 GET /orders (15462ms) {method: GET, path: /orders, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[   16582ms] [INFO] [SAFA API] <- 200 GET /settings (15550ms) {method: GET, path: /settings, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[   19600ms] [INFO] [SAFA API] <- 200 GET /settings/connections (18567ms) {method: GET, path: /settings/connections, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[   20003ms] [INFO] [SAFA API] <- 200 GET /jobs (18879ms) {method: GET, path: /jobs, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[   27039ms] [INFO] [SAFA API] <- 200 GET /invoice-drafts (26002ms) {method: GET, path: /invoice-drafts, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[   29145ms] [INFO] [SAFA API] <- 200 GET /automation/status (28112ms) {method: GET, path: /automation/status, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[  677766ms] [INFO] [SAFA ROUTE] navigation {from: /invoices, to: /orders, pathname: /orders, search: null, navigatedAt: 2026-06-23T13:19:25.611Z} @ https://safa-redesign.web.app/_next/static/chunks/0u_z2k12x9vs1.js:0
[  677767ms] [INFO] [SAFA API] -> GET /auth/session {method: GET, path: /auth/session, url: /api/auth/session, body: undefined, requestedAt: 2026-06-23T13:19:25.611Z} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[  677767ms] [INFO] [SAFA API] -> GET /orders {method: GET, path: /orders, url: /api/orders, body: undefined, requestedAt: 2026-06-23T13:19:25.612Z} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[  677768ms] [INFO] [SAFA API] -> GET /products {method: GET, path: /products, url: /api/products, body: undefined, requestedAt: 2026-06-23T13:19:25.612Z} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[  677768ms] [INFO] [SAFA API] -> GET /integrations/hepsiburada/order-lines {method: GET, path: /integrations/hepsiburada/order-lines, url: /api/integrations/hepsiburada/order-lines, body: undefined, requestedAt: 2026-06-23T13:19:25.612Z} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
